eta,max_depth,subsample,colsample_bytree,lambda,alpha,n_estimators,accuracy,auc,f1_score,precision,recall
0.05,5,0.6,0.8,5,0,100,0.7402190923317684,0.7716468590831919,0.23148148148148148,0.13513513513513514,0.8064516129032258
0.1,3,0.6,0.8,5,1,100,0.7276995305164319,0.7650679117147707,0.22321428571428573,0.12953367875647667,0.8064516129032258
0.1,3,0.6,0.8,1,1,100,0.7417840375586855,0.7648158955857385,0.22897196261682243,0.13387978142076504,0.7903225806451613
0.05,5,0.8,0.8,5,1,100,0.7378716744913928,0.762759974533107,0.22632794457274827,0.1320754716981132,0.7903225806451613
0.03,5,0.5,0.5,5,0,100,0.7183098591549296,0.760133701188455,0.21739130434782608,0.12562814070351758,0.8064516129032258
0.01,5,0.5,0.8,1,1,300,0.7323943661971831,0.7598816850594229,0.22272727272727272,0.12962962962962962,0.7903225806451613
0.05,7,0.5,0.8,5,1,100,0.7746478873239436,0.759125636672326,0.24210526315789474,0.14465408805031446,0.7419354838709677
0.05,5,0.5,0.8,1,1,100,0.744131455399061,0.7583961162988115,0.22695035460992907,0.1329639889196676,0.7741935483870968
0.05,5,0.8,0.8,1,1,100,0.744131455399061,0.7583961162988115,0.22695035460992907,0.1329639889196676,0.7741935483870968
0.05,3,0.5,0.6,1,0,300,0.7582159624413145,0.7581441001697793,0.23325062034739455,0.1378299120234604,0.7580645161290323
0.05,5,0.6,0.5,5,1,100,0.7276995305164319,0.7574145797962648,0.21973094170403587,0.12760416666666666,0.7903225806451613
0.03,3,0.5,0.8,1,1,300,0.7276995305164319,0.7574145797962648,0.21973094170403587,0.12760416666666666,0.7903225806451613
0.1,3,0.8,0.8,5,0,100,0.7276995305164319,0.7574145797962648,0.21973094170403587,0.12760416666666666,0.7903225806451613
0.1,3,0.6,0.8,5,0,100,0.7276995305164319,0.7574145797962648,0.21973094170403587,0.12760416666666666,0.7903225806451613
0.03,5,0.5,0.8,1,0,100,0.7276995305164319,0.7574145797962648,0.21973094170403587,0.12760416666666666,0.7903225806451613
0.03,7,0.8,0.8,5,1,100,0.7566510172143975,0.7573217317487266,0.23209876543209876,0.13702623906705538,0.7580645161290323
0.05,5,0.6,0.5,1,1,100,0.741001564945227,0.7567513794567061,0.22482435597189696,0.13150684931506848,0.7741935483870968
0.03,5,0.8,0.8,1,0,100,0.7261345852895149,0.7565922113752122,0.21875,0.12694300518134716,0.7903225806451613
0.01,5,0.8,0.8,5,1,300,0.7261345852895149,0.7565922113752122,0.21875,0.12694300518134716,0.7903225806451613
0.03,7,0.5,0.5,5,1,100,0.7402190923317684,0.75634019524618,0.22429906542056074,0.13114754098360656,0.7741935483870968
0.01,5,0.5,0.6,5,1,100,0.6964006259780907,0.7562738752122242,0.20816326530612245,0.1191588785046729,0.8225806451612904
0.03,3,0.8,0.5,5,1,300,0.7104851330203443,0.756021859083192,0.2127659574468085,0.12254901960784313,0.8064516129032258
0.1,5,0.5,0.6,1,1,100,0.7832550860719875,0.7559953310696095,0.2452316076294278,0.14754098360655737,0.7258064516129032
0.03,5,0.6,0.8,1,1,100,0.7245696400625978,0.7557698429541596,0.21777777777777776,0.12628865979381443,0.7903225806451613
0.03,7,0.6,0.8,5,1,100,0.7535211267605634,0.7556769949066213,0.22982885085574573,0.13544668587896252,0.7580645161290323
0.01,7,0.5,0.8,5,0,300,0.7535211267605634,0.7556769949066213,0.22982885085574573,0.13544668587896252,0.7580645161290323
0.05,5,0.8,0.5,5,1,100,0.7386541471048513,0.7555178268251274,0.22325581395348837,0.13043478260869565,0.7741935483870968
0.03,5,0.6,0.8,5,1,100,0.7237871674491393,0.7553586587436333,0.21729490022172948,0.12596401028277635,0.7903225806451613
0.1,3,0.6,0.6,5,0,100,0.7237871674491393,0.7553586587436333,0.21729490022172948,0.12596401028277635,0.7903225806451613
0.01,7,0.6,0.8,5,1,300,0.7527386541471048,0.7552658106960951,0.22926829268292684,0.13505747126436782,0.7580645161290323
