eta,max_depth,subsample,colsample_bytree,lambda,alpha,n_estimators,accuracy,auc,f1_score,precision,recall
0.3,7,0.5,0.6,1,1,100,0.8888888888888888,0.6660918930390493,0.26804123711340205,0.19696969696969696,0.41935483870967744
0.3,7,0.5,0.5,5,0,300,0.8951486697965572,0.646421370967742,0.25555555555555554,0.19491525423728814,0.3709677419354839
0.3,5,0.6,0.8,1,0,300,0.8967136150234741,0.6395904074702886,0.25,0.19298245614035087,0.3548387096774194
0.3,7,0.6,0.8,1,0,300,0.8943661971830986,0.6383568548387097,0.24581005586592178,0.18803418803418803,0.3548387096774194
0.3,5,0.8,0.6,5,1,300,0.8888888888888888,0.6507852292020374,0.25263157894736843,0.1875,0.3870967741935484
0.3,7,0.6,0.5,1,0,300,0.8967136150234741,0.6242837436332767,0.23255813953488372,0.18181818181818182,0.3225806451612903
0.3,5,0.8,0.8,5,1,300,0.8881064162754304,0.6427207130730052,0.24338624338624337,0.18110236220472442,0.3709677419354839
0.3,5,0.8,0.6,5,0,300,0.8935837245696401,0.6302923387096774,0.23595505617977527,0.1810344827586207,0.3387096774193548
0.3,7,0.6,0.6,1,0,300,0.8873239436619719,0.6423095288624788,0.24210526315789474,0.1796875,0.3709677419354839
0.3,7,0.5,0.5,1,0,300,0.8928012519561815,0.629881154499151,0.2346368715083799,0.1794871794871795,0.3387096774193548
0.3,7,0.5,0.6,1,0,100,0.8865414710485133,0.6418983446519525,0.24083769633507854,0.17829457364341086,0.3709677419354839
0.3,7,0.5,0.6,5,1,100,0.8661971830985915,0.6847808786078098,0.2597402597402597,0.17751479289940827,0.4838709677419355
0.3,5,0.8,0.8,1,0,300,0.8998435054773083,0.6106218166383701,0.21951219512195122,0.17647058823529413,0.2903225806451613
0.3,5,0.6,0.5,1,1,300,0.8881064162754304,0.6350673811544992,0.23529411764705882,0.176,0.3548387096774194
0.1,7,0.8,0.8,5,1,300,0.8881064162754304,0.6350673811544992,0.23529411764705882,0.176,0.3548387096774194
0.3,7,0.5,0.6,1,1,300,0.8904538341158059,0.6286476018675722,0.23076923076923078,0.175,0.3387096774193548
0.3,7,0.6,0.6,5,0,300,0.8904538341158059,0.6286476018675722,0.23076923076923078,0.175,0.3387096774193548
0.3,3,0.6,0.6,1,0,300,0.8841940532081377,0.6406647920203735,0.23711340206185566,0.17424242424242425,0.3709677419354839
0.3,7,0.6,0.5,1,1,300,0.8896713615023474,0.6282364176570457,0.22950819672131148,0.17355371900826447,0.3387096774193548
0.3,5,0.8,0.6,5,1,100,0.8630672926447575,0.6831361417657046,0.2553191489361702,0.17341040462427745,0.4838709677419355
0.3,7,0.6,0.6,5,1,300,0.8865414710485133,0.6342450127334466,0.2328042328042328,0.1732283464566929,0.3548387096774194
0.3,7,0.5,0.6,5,0,300,0.8834115805946792,0.6402536078098473,0.2358974358974359,0.17293233082706766,0.3709677419354839
0.3,5,0.5,0.5,5,0,300,0.8834115805946792,0.6402536078098473,0.2358974358974359,0.17293233082706766,0.3709677419354839
0.1,7,0.8,0.8,5,0,300,0.892018779342723,0.6218166383701188,0.2247191011235955,0.1724137931034483,0.3225806451612903
0.3,7,0.5,0.6,5,0,100,0.8740219092331768,0.6582793930390493,0.24413145539906103,0.17218543046357615,0.41935483870967744
0.3,7,0.6,0.5,5,1,300,0.8888888888888888,0.6278252334465194,0.22826086956521738,0.1721311475409836,0.3387096774193548
0.3,5,0.5,0.5,5,1,300,0.8794992175273866,0.6458510186757216,0.2376237623762376,0.17142857142857143,0.3870967741935484
0.3,7,0.8,0.5,1,1,300,0.8943661971830986,0.6153968590831917,0.21965317919075145,0.17117117117117117,0.3064516129032258
0.3,5,0.5,0.5,1,0,300,0.8943661971830986,0.6153968590831917,0.21965317919075145,0.17117117117117117,0.3064516129032258
0.3,7,0.6,0.5,5,0,300,0.8912363067292645,0.6214054541595925,0.22346368715083798,0.17094017094017094,0.3225806451612903
0.3,7,0.6,0.8,5,0,300,0.8912363067292645,0.6214054541595925,0.22346368715083798,0.17094017094017094,0.3225806451612903
0.3,7,0.6,0.8,1,1,300,0.8881064162754304,0.6274140492359932,0.22702702702702704,0.17073170731707318,0.3387096774193548
0.3,7,0.5,0.8,1,1,300,0.8881064162754304,0.6274140492359932,0.22702702702702704,0.17073170731707318,0.3387096774193548
0.3,3,0.6,0.6,5,1,300,0.863849765258216,0.675893994057725,0.25,0.17058823529411765,0.46774193548387094
0.3,7,0.5,0.5,1,1,100,0.8818466353677621,0.6394312393887946,0.233502538071066,0.17037037037037037,0.3709677419354839
0.3,7,0.5,0.8,5,0,100,0.878716744913928,0.6454398344651953,0.23645320197044334,0.1702127659574468,0.3870967741935484
0.1,7,0.6,0.8,1,0,300,0.8935837245696401,0.6149856748726655,0.21839080459770116,0.16964285714285715,0.3064516129032258
0.3,7,0.8,0.6,5,0,300,0.8935837245696401,0.6149856748726655,0.21839080459770116,0.16964285714285715,0.3064516129032258
0.05,7,0.8,0.8,5,1,300,0.8630672926447575,0.6754828098471987,0.24892703862660945,0.1695906432748538,0.46774193548387094
